conta,sum,outlier
10027762.0,760.0,Outlier
10031329.0,84.0,Normal
10038488.0,1980.0,Outlier
10045509.0,1783.04,Outlier
10045790.0,1426.72,Outlier
10047824.0,440.0,Outlier
10048142.0,1180.0,Outlier
10048566.0,84.0,Normal
10048567.0,84.0,Normal
10064905.0,84.33,Normal
10064906.0,84.33,Normal
10071568.0,390.0,Normal
10071636.0,1950.0,Outlier
10071719.0,2080.0,Outlier
10071757.0,520.0,Outlier
10072268.0,1260.0,Outlier
10073040.0,1140.0,Outlier
10076547.0,400.0,Normal
10076839.0,1426.72,Outlier
10076943.0,891.07,Outlier
10076961.0,891.07,Outlier
10087430.0,800.0,Outlier
10090401.0,84.0,Normal
10090403.0,84.0,Normal
10094136.0,236.0,Normal
10094874.0,84.0,Normal
10101910.0,760.0,Outlier
10102382.0,84.0,Normal
10102385.0,84.0,Normal
10102736.0,1540.0,Outlier
10104444.0,84.0,Normal
10107235.0,84.33,Normal
10107236.0,84.33,Normal
10114521.0,84.0,Normal
10114523.0,84.0,Normal
10114525.0,84.0,Normal
10114526.0,84.0,Normal
10123716.0,650.0,Outlier
10123718.0,1820.0,Outlier
10124284.0,1690.0,Outlier
10124445.0,370.0,Normal
10124917.0,1070.04,Outlier
10124927.0,713.36,Outlier
10124931.0,1783.04,Outlier
10136700.0,1170.4,Outlier
10138489.0,84.0,Normal
10151682.0,190.0,Normal
10152277.0,84.0,Normal
10156115.0,84.0,Normal
10167627.0,760.0,Outlier
10169083.0,84.33,Normal
10170777.0,84.0,Normal
10170779.0,84.0,Normal
10170780.0,84.0,Normal
10171060.0,110.0,Normal
10179812.0,84.0,Normal
10181715.0,199.505,Normal
10181717.0,199.505,Normal
10181776.0,199.505,Normal
10181782.0,199.505,Normal
10181914.0,110.0,Normal
10182075.0,130.0,Normal
10182104.0,130.0,Normal
10182157.0,130.0,Normal
10182266.0,130.0,Normal
10182343.0,130.0,Normal
10183934.0,185.0,Normal
10184034.0,185.0,Normal
10184362.0,146.29999999999998,Normal
10197338.0,84.0,Normal
10204219.0,855.0,Outlier
10205858.0,190.0,Normal
10205865.0,110.0,Normal
10209727.0,84.0,Normal
10209731.0,84.0,Normal
10226708.0,126.0,Normal
10226709.0,126.0,Normal
10226713.0,126.0,Normal
10227540.0,185.0,Normal
10228237.0,100.0,Normal
10228257.0,100.0,Normal
10228318.0,100.0,Normal
10233003.0,130.0,Normal
10233033.0,130.0,Normal
10233124.0,130.0,Normal
10233136.0,130.0,Normal
10233200.0,90.0,Normal
10233223.0,130.0,Normal
10240648.0,199.55000000000004,Normal
10240734.0,84.33,Normal
10240735.0,84.33,Normal
10240930.0,84.33,Normal
10241918.0,146.3,Normal
10242304.0,210.0,Normal
10247037.0,90.0,Normal
10247937.0,199.55,Normal
10248022.0,199.55000000000004,Normal
10251777.0,84.0,Normal
10252342.0,199.55,Normal
10267204.0,190.0,Normal
10267335.0,760.0,Outlier
10268209.0,84.33,Normal
10268210.0,84.33,Normal
10271713.0,84.0,Normal
10271718.0,84.0,Normal
10271721.0,84.0,Normal
10271724.0,84.0,Normal
10271726.0,84.0,Normal
10273264.0,110.0,Normal
10281158.0,110.0,Normal
10285851.0,90.0,Normal
10285867.0,199.51666666666665,Normal
10285873.0,130.0,Normal
10287160.0,130.0,Normal
10287230.0,130.0,Normal
10287248.0,130.0,Normal
10289043.0,146.29999999999998,Normal
10289289.0,84.0,Normal
10289292.0,84.0,Normal
10291254.0,199.505,Normal
10294185.0,199.51666666666665,Normal
10294247.0,210.0,Normal
10294378.0,185.0,Normal
10294379.0,130.0,Normal
10294771.0,90.0,Normal
10296938.0,199.55,Normal
10309817.0,760.0,Outlier
10312580.0,520.0,Outlier
10312813.0,84.0,Normal
10312816.0,84.0,Normal
10312818.0,84.0,Normal
10318775.0,150.0,Normal
10325710.0,316.6666666666667,Normal
10328434.0,110.0,Normal
10328456.0,110.0,Normal
10328572.0,90.0,Normal
10330428.0,84.0,Normal
10330431.0,84.0,Normal
10330432.0,84.0,Normal
10330433.0,84.0,Normal
10336441.0,90.0,Normal
10340582.0,84.33,Normal
10340599.0,84.33,Normal
10341699.0,130.0,Normal
10342117.0,130.0,Normal
10342172.0,130.0,Normal
10342519.0,130.0,Normal
10342581.0,130.0,Normal
10342663.0,199.505,Normal
10343009.0,210.0,Normal
10343244.0,146.20000000000002,Normal
10344203.0,199.6625,Normal
10344393.0,80.0,Normal
10344946.0,157.31,Normal
10346607.0,190.0,Normal
10357432.0,84.0,Normal
10358243.0,120.0,Normal
10359369.0,110.0,Normal
10364154.0,150.0,Normal
10364879.0,84.0,Normal
10364881.0,84.0,Normal
10366913.0,199.55,Normal
10372055.0,500.0,Outlier
10372220.0,855.0,Outlier
10374981.0,84.0,Normal
10376004.0,84.33,Normal
10376057.0,252.99,Normal
10376171.0,84.33,Normal
10389808.0,80.0,Normal
10390122.0,90.0,Normal
10390240.0,185.0,Normal
10391502.0,130.0,Normal
10391587.0,130.0,Normal
10392116.0,130.0,Normal
10392130.0,130.0,Normal
10392139.0,130.0,Normal
10392340.0,80.0,Normal
10392342.0,80.0,Normal
10392343.0,80.0,Normal
10392652.0,210.0,Normal
10393696.0,80.0,Normal
10393697.0,80.0,Normal
10393698.0,80.0,Normal
10395161.0,80.0,Normal
10395167.0,80.0,Normal
10395226.0,110.0,Normal
10395375.0,110.0,Normal
10395694.0,80.0,Normal
10395696.0,80.0,Normal
10396469.0,80.0,Normal
10396474.0,80.0,Normal
10396475.0,80.0,Normal
10396750.0,80.0,Normal
10396753.0,80.0,Normal
10397251.0,80.0,Normal
10397252.0,80.0,Normal
10397255.0,120.0,Normal
10397381.0,90.0,Normal
10397533.0,80.0,Normal
10398264.0,80.0,Normal
10398265.0,80.0,Normal
10398267.0,80.0,Normal
10398753.0,84.0,Normal
10398756.0,84.0,Normal
10398758.0,84.0,Normal
10398999.0,80.0,Normal
10399000.0,80.0,Normal
10400586.0,80.0,Normal
10400712.0,80.0,Normal
10401587.0,157.31,Normal
10401619.0,80.0,Normal
10401914.0,80.0,Normal
10402285.0,80.0,Normal
10402289.0,80.0,Normal
10402291.0,80.0,Normal
10402745.0,80.0,Normal
10402748.0,80.0,Normal
10403998.0,80.0,Normal
10404008.0,80.0,Normal
10404373.0,146.3,Normal
10404546.0,202.25,Normal
10407093.0,520.0,Outlier
10407109.0,400.0,Normal
10407111.0,80.0,Normal
10407112.0,855.0,Outlier
10407113.0,80.0,Normal
10407128.0,80.0,Normal
10410720.0,190.0,Normal
10410776.0,80.0,Normal
10410777.0,80.0,Normal
10410780.0,80.0,Normal
10412580.0,80.0,Normal
10412582.0,80.0,Normal
10413830.0,80.0,Normal
10413832.0,80.0,Normal
10414899.0,5070.0,Outlier
10414945.0,390.0,Normal
10416332.0,80.0,Normal
10416334.0,80.0,Normal
10416461.0,80.0,Normal
10416464.0,80.0,Normal
10416468.0,80.0,Normal
10418128.0,80.0,Normal
10418129.0,80.0,Normal
10418130.0,80.0,Normal
10418147.0,80.0,Normal
10419172.0,150.0,Normal
10419350.0,80.0,Normal
10419354.0,80.0,Normal
10419456.0,199.55,Normal
10420983.0,80.0,Normal
10420985.0,80.0,Normal
10421018.0,80.0,Normal
10421021.0,80.0,Normal
10421430.0,80.0,Normal
10421437.0,80.0,Normal
10421441.0,80.0,Normal
10421538.0,80.0,Normal
10421541.0,80.0,Normal
10422187.0,100.0,Normal
10423145.0,80.0,Normal
10423146.0,80.0,Normal
10423532.0,84.0,Normal
10423628.0,130.0,Normal
10423707.0,130.0,Normal
10423752.0,130.0,Normal
10423852.0,130.0,Normal
10424051.0,130.0,Normal
10424142.0,130.0,Normal
10424395.0,80.0,Normal
10424419.0,80.0,Normal
10424674.0,130.0,Normal
10424738.0,80.0,Normal
10424741.0,80.0,Normal
10425007.0,100.0,Normal
10428513.0,80.0,Normal
10428514.0,80.0,Normal
10428515.0,80.0,Normal
10428601.0,80.0,Normal
10428622.0,80.0,Normal
10429106.0,80.0,Normal
10429107.0,80.0,Normal
10429248.0,80.0,Normal
10429249.0,80.0,Normal
10429251.0,80.0,Normal
10430597.0,80.0,Normal
10430600.0,80.0,Normal
10430603.0,110.0,Normal
10432384.0,80.0,Normal
10432387.0,80.0,Normal
10432390.0,80.0,Normal
10433143.0,80.0,Normal
10435400.0,80.0,Normal
10435401.0,80.0,Normal
10435404.0,80.0,Normal
10435411.0,80.0,Normal
10435420.0,80.0,Normal
10435709.0,225.0,Normal
10439199.0,80.0,Normal
10439200.0,80.0,Normal
10439202.0,80.0,Normal
10439803.0,80.0,Normal
10440250.0,80.0,Normal
10440256.0,80.0,Normal
10440292.0,120.0,Normal
10441237.0,90.38,Normal
10441242.0,90.38,Normal
10441307.0,90.38,Normal
10442813.0,80.0,Normal
10442815.0,80.0,Normal
10442829.0,80.0,Normal
10442903.0,190.0,Normal
10443193.0,80.0,Normal
10443194.0,80.0,Normal
10443198.0,80.0,Normal
10443249.0,80.0,Normal
10443250.0,80.0,Normal
10443737.0,110.0,Normal
10443762.0,6.06,Outlier
10443935.0,80.0,Normal
10443943.0,80.0,Normal
10444250.0,110.0,Normal
10444764.0,80.0,Normal
10444770.0,80.0,Normal
10445157.0,80.0,Normal
10446049.0,84.0,Normal
10446050.0,84.0,Normal
10446051.0,84.0,Normal
10446056.0,84.0,Normal
10446066.0,80.0,Normal
10446069.0,80.0,Normal
10446072.0,80.0,Normal
10446324.0,80.0,Normal
10446327.0,80.0,Normal
10448357.0,80.0,Normal
10448361.0,80.0,Normal
10448364.0,80.0,Normal
10448701.0,80.0,Normal
10448702.0,80.0,Normal
10448957.0,80.0,Normal
10449028.0,80.0,Normal
10449031.0,80.0,Normal
10449036.0,80.0,Normal
10449600.0,80.0,Normal
10449808.0,80.0,Normal
10451471.0,80.0,Normal
10451488.0,80.0,Normal
10451490.0,80.0,Normal
10452372.0,80.0,Normal
10452375.0,80.0,Normal
10452760.0,80.0,Normal
10452895.0,80.0,Normal
10452896.0,80.0,Normal
10453123.0,80.0,Normal
10453296.0,80.0,Normal
10453300.0,80.0,Normal
10453471.0,300.0,Normal
10453494.0,780.0,Outlier
10453497.0,520.0,Outlier
10453525.0,80.0,Normal
10453862.0,855.0,Outlier
10455172.0,80.0,Normal
10455576.0,202.25,Normal
10455676.0,80.0,Normal
10455679.0,80.0,Normal
10455711.0,80.0,Normal
10456268.0,80.0,Normal
10456271.0,80.0,Normal
10456403.0,80.0,Normal
10456846.0,80.0,Normal
10457235.0,80.0,Normal
10457239.0,80.0,Normal
10457251.0,80.0,Normal
10457265.0,80.0,Normal
10457400.0,80.0,Normal
10457828.0,80.0,Normal
10457831.0,80.0,Normal
10457882.0,80.0,Normal
10458341.0,80.0,Normal
10458343.0,80.0,Normal
10458828.0,80.0,Normal
10458840.0,80.0,Normal
10459943.0,80.0,Normal
10459994.0,80.0,Normal
10460072.0,80.0,Normal
10460102.0,80.0,Normal
10460107.0,80.0,Normal
10460244.0,80.0,Normal
10460520.0,80.0,Normal
10460618.0,157.31,Normal
10460632.0,150.0,Normal
10460698.0,80.0,Normal
10460703.0,80.0,Normal
10460709.0,80.0,Normal
10460917.0,80.0,Normal
10460918.0,80.0,Normal
10461296.0,80.0,Normal
10461305.0,80.0,Normal
10461701.0,80.0,Normal
10461902.0,80.0,Normal
10462859.0,80.0,Normal
10462861.0,80.0,Normal
10463948.0,80.0,Normal
10463950.0,80.0,Normal
10464583.0,80.0,Normal
10464603.0,80.0,Normal
10464637.0,80.0,Normal
10464737.0,80.0,Normal
10464791.0,80.0,Normal
10464794.0,80.0,Normal
10464801.0,80.0,Normal
10466051.0,80.0,Normal
10466053.0,80.0,Normal
10466056.0,80.0,Normal
10466062.0,80.0,Normal
10466516.0,80.0,Normal
10466535.0,80.0,Normal
10466909.0,80.0,Normal
10466911.0,80.0,Normal
10467689.0,520.0,Outlier
10467715.0,80.0,Normal
10467724.0,80.0,Normal
10468004.0,80.0,Normal
10468009.0,80.0,Normal
10468011.0,80.0,Normal
10468057.0,80.0,Normal
10468093.0,80.0,Normal
10468161.0,80.0,Normal
10468164.0,80.0,Normal
10468168.0,80.0,Normal
10468178.0,199.55,Normal
10468391.0,80.0,Normal
10468399.0,80.0,Normal
10468674.0,80.0,Normal
10468740.0,80.0,Normal
10468744.0,80.0,Normal
10468745.0,80.0,Normal
10468853.0,80.0,Normal
10468867.0,80.0,Normal
10468871.0,80.0,Normal
10468906.0,84.0,Normal
10468909.0,84.0,Normal
10468912.0,84.0,Normal
10468991.0,80.0,Normal
10468992.0,80.0,Normal
10469737.0,80.0,Normal
10469946.0,80.0,Normal
10471464.0,80.0,Normal
10471472.0,80.0,Normal
10471704.0,80.0,Normal
10471803.0,80.0,Normal
10471821.0,80.0,Normal
10471822.0,80.0,Normal
10472249.0,80.0,Normal
10472250.0,80.0,Normal
10472268.0,80.0,Normal
10472270.0,80.0,Normal
10472271.0,80.0,Normal
10472272.0,80.0,Normal
10472276.0,80.0,Normal
10472277.0,80.0,Normal
10472336.0,80.0,Normal
10473000.0,80.0,Normal
10473094.0,199.55,Normal
10473200.0,80.0,Normal
10473202.0,80.0,Normal
10473204.0,80.0,Normal
10473245.0,199.55,Normal
10473328.0,160.93000000000004,Normal
10476534.0,80.0,Normal
10476720.0,80.0,Normal
10476742.0,80.0,Normal
10476745.0,80.0,Normal
10476753.0,80.0,Normal
10477372.0,80.0,Normal
10477914.0,80.0,Normal
10477940.0,80.0,Normal
10477946.0,80.0,Normal
10477947.0,80.0,Normal
10477949.0,80.0,Normal
10478111.0,80.0,Normal
10478420.0,80.0,Normal
10479782.0,80.0,Normal
10479792.0,80.0,Normal
10480222.0,80.0,Normal
10480235.0,80.0,Normal
10480374.0,80.0,Normal
10480408.0,80.0,Normal
10480497.0,80.0,Normal
10480611.0,90.0,Normal
10480633.0,80.0,Normal
10481180.0,80.0,Normal
10481186.0,80.0,Normal
10481679.0,80.0,Normal
10481779.0,80.0,Normal
10481868.0,80.0,Normal
10481871.0,80.0,Normal
10483202.0,80.0,Normal
10483616.0,80.0,Normal
10483772.0,80.0,Normal
10483774.0,80.0,Normal
10484015.0,230.0,Normal
10484063.0,100.0,Normal
10484068.0,80.0,Normal
10484076.0,80.0,Normal
10484086.0,80.0,Normal
10484090.0,80.0,Normal
10484091.0,80.0,Normal
10484178.0,199.55,Normal
10484216.0,130.0,Normal
10484245.0,130.0,Normal
10484333.0,130.0,Normal
10484355.0,130.0,Normal
10484370.0,130.0,Normal
10484424.0,130.0,Normal
10484947.0,80.0,Normal
10484951.0,80.0,Normal
10484955.0,80.0,Normal
10484957.0,80.0,Normal
10484959.0,80.0,Normal
10484961.0,80.0,Normal
10485410.0,80.0,Normal
10485516.0,80.0,Normal
10485560.0,80.0,Normal
10485561.0,80.0,Normal
10485597.0,80.0,Normal
10485598.0,80.0,Normal
10485599.0,80.0,Normal
10485645.0,80.0,Normal
10485727.0,80.0,Normal
10485772.0,80.0,Normal
10485802.0,80.0,Normal
10485836.0,80.0,Normal
10485838.0,80.0,Normal
10485847.0,80.0,Normal
10485850.0,80.0,Normal
10486245.0,80.0,Normal
10486262.0,80.0,Normal
10486264.0,80.0,Normal
10486274.0,80.0,Normal
10486555.0,130.0,Normal
10486668.0,80.0,Normal
10486669.0,80.0,Normal
10486671.0,80.0,Normal
10486799.0,80.0,Normal
10486800.0,80.0,Normal
10486808.0,80.0,Normal
10487102.0,80.0,Normal
10487402.0,80.0,Normal
10487409.0,80.0,Normal
10487548.0,80.0,Normal
10487550.0,80.0,Normal
10487590.0,80.0,Normal
10487593.0,80.0,Normal
10488779.0,80.0,Normal
10488781.0,80.0,Normal
10488850.0,80.0,Normal
10488851.0,80.0,Normal
10489229.0,80.0,Normal
10489268.0,80.0,Normal
10489269.0,80.0,Normal
10489279.0,80.0,Normal
10489280.0,80.0,Normal
10489897.0,120.0,Normal
10490095.0,120.0,Normal
10490131.0,120.0,Normal
10490348.0,80.0,Normal
10490350.0,80.0,Normal
10490370.0,80.0,Normal
10490492.0,80.0,Normal
10490547.0,80.0,Normal
10490704.0,80.0,Normal
10491063.0,80.0,Normal
10491278.0,80.0,Normal
10491283.0,80.0,Normal
10491284.0,80.0,Normal
10491550.0,80.0,Normal
10491633.0,80.0,Normal
10491673.0,80.0,Normal
10491727.0,80.0,Normal
10491730.0,80.0,Normal
10491738.0,80.0,Normal
10492427.0,80.0,Normal
10492912.0,190.0,Normal
10493060.0,80.0,Normal
10493062.0,80.0,Normal
10493068.0,80.0,Normal
10493073.0,80.0,Normal
10493075.0,80.0,Normal
10493700.0,80.0,Normal
10493707.0,80.0,Normal
10493709.0,80.0,Normal
10493711.0,80.0,Normal
10494176.0,80.0,Normal
10494458.0,80.0,Normal
10494477.0,80.0,Normal
10494563.0,80.0,Normal
10494565.0,80.0,Normal
10494566.0,80.0,Normal
10494569.0,80.0,Normal
10494571.0,80.0,Normal
10494572.0,80.0,Normal
10494824.0,80.0,Normal
10494825.0,80.0,Normal
10494827.0,80.0,Normal
10495078.0,80.0,Normal
10495089.0,80.0,Normal
10495097.0,80.0,Normal
10495107.0,80.0,Normal
10495728.0,80.0,Normal
10498965.0,80.0,Normal
10498967.0,80.0,Normal
10499165.0,80.0,Normal
10499555.0,80.0,Normal
10499557.0,80.0,Normal
10499598.0,80.0,Normal
10499599.0,80.0,Normal
10499605.0,80.0,Normal
10499607.0,80.0,Normal
10499830.0,80.0,Normal
10500679.0,202.25,Normal
10500743.0,80.0,Normal
10500745.0,80.0,Normal
10500750.0,80.0,Normal
10500758.0,80.0,Normal
10500769.0,80.0,Normal
10500770.0,80.0,Normal
10500771.0,110.0,Normal
10501199.0,80.0,Normal
10501391.0,110.0,Normal
10501560.0,110.0,Normal
10501632.0,80.0,Normal
10501741.0,80.0,Normal
10501742.0,80.0,Normal
10501743.0,80.0,Normal
10501744.0,80.0,Normal
10501745.0,80.0,Normal
10501768.0,80.0,Normal
10501951.0,80.0,Normal
10503460.0,80.0,Normal
10503527.0,80.0,Normal
10503533.0,80.0,Normal
10503580.0,80.0,Normal
10503589.0,80.0,Normal
10503591.0,80.0,Normal
10503632.0,80.0,Normal
10503634.0,80.0,Normal
10504054.0,225.0,Normal
10504055.0,80.0,Normal
10504057.0,80.0,Normal
10504061.0,80.0,Normal
10504063.0,80.0,Normal
10504065.0,80.0,Normal
10504066.0,80.0,Normal
10504214.0,80.0,Normal
10504217.0,80.0,Normal
10505473.0,600.0,Outlier
10505597.0,760.0,Outlier
10505756.0,910.0,Outlier
10505930.0,780.0,Outlier
10506167.0,80.0,Normal
10506242.0,80.0,Normal
10506267.0,80.0,Normal
10506281.0,80.0,Normal
10506282.0,80.0,Normal
10506283.0,80.0,Normal
10506443.0,80.0,Normal
10506444.0,80.0,Normal
10506445.0,80.0,Normal
10506516.0,80.0,Normal
10506528.0,80.0,Normal
10506529.0,80.0,Normal
10506544.0,80.0,Normal
10506555.0,80.0,Normal
10507464.0,80.0,Normal
10507476.0,80.0,Normal
10507482.0,80.0,Normal
10507483.0,80.0,Normal
10507485.0,84.0,Normal
10507489.0,84.0,Normal
10507490.0,84.0,Normal
10507494.0,84.0,Normal
10507501.0,80.0,Normal
10507502.0,80.0,Normal
10507504.0,80.0,Normal
10507564.0,80.0,Normal
10507755.0,80.0,Normal
10508020.0,80.0,Normal
10508022.0,80.0,Normal
10508481.0,80.0,Normal
10508483.0,80.0,Normal
10510684.0,80.0,Normal
10510686.0,80.0,Normal
10510687.0,80.0,Normal
10510836.0,80.0,Normal
10511648.0,80.0,Normal
10511752.0,80.0,Normal
10511848.0,80.0,Normal
10511850.0,80.0,Normal
10511984.0,80.0,Normal
10511987.0,80.0,Normal
10511990.0,80.0,Normal
10512001.0,80.0,Normal
10512003.0,80.0,Normal
10512005.0,80.0,Normal
10512020.0,80.0,Normal
10512022.0,80.0,Normal
10512062.0,80.0,Normal
10514175.0,80.0,Normal
10514177.0,80.0,Normal
10514181.0,80.0,Normal
10514268.0,80.0,Normal
10514353.0,80.0,Normal
10514764.0,80.0,Normal
10515501.0,80.0,Normal
10515795.0,80.0,Normal
10515822.0,80.0,Normal
10515853.0,80.0,Normal
10516166.0,80.0,Normal
10516287.0,80.0,Normal
10516429.0,80.0,Normal
10516920.0,80.0,Normal
10517062.0,80.0,Normal
10517067.0,80.0,Normal
10517078.0,80.0,Normal
10517085.0,80.0,Normal
10517122.0,80.0,Normal
10517129.0,80.0,Normal
10517283.0,80.0,Normal
10517460.0,80.0,Normal
10517569.0,80.0,Normal
10518132.0,80.0,Normal
10518133.0,80.0,Normal
10518134.0,80.0,Normal
10518135.0,80.0,Normal
10518136.0,80.0,Normal
10518137.0,80.0,Normal
10518139.0,80.0,Normal
10518140.0,80.0,Normal
10518672.0,80.0,Normal
10518715.0,80.0,Normal
10518718.0,80.0,Normal
10518720.0,80.0,Normal
10519205.0,80.0,Normal
10519206.0,80.0,Normal
10519533.0,80.0,Normal
10519536.0,110.0,Normal
10519547.0,80.0,Normal
10519563.0,80.0,Normal
10519598.0,84.0,Normal
10519761.0,80.0,Normal
10519784.0,80.0,Normal
10519790.0,80.0,Normal
10519794.0,80.0,Normal
10519795.0,80.0,Normal
10519797.0,80.0,Normal
10519800.0,80.0,Normal
10519801.0,80.0,Normal
10519847.0,80.0,Normal
10520131.0,150.0,Normal
10520240.0,80.0,Normal
10520621.0,80.0,Normal
10520649.0,80.0,Normal
10520660.0,80.0,Normal
10520679.0,80.0,Normal
10520689.0,80.0,Normal
10520692.0,80.0,Normal
10520702.0,80.0,Normal
10521052.0,80.0,Normal
10521267.0,80.0,Normal
10521289.0,80.0,Normal
10522031.0,80.0,Normal
10522042.0,80.0,Normal
10524223.0,80.0,Normal
10524225.0,80.0,Normal
10524226.0,80.0,Normal
10524227.0,80.0,Normal
10524836.0,80.0,Normal
10525455.0,80.0,Normal
10525638.0,80.0,Normal
10525639.0,80.0,Normal
10525640.0,80.0,Normal
10525642.0,80.0,Normal
10525650.0,80.0,Normal
10526247.0,80.0,Normal
10526250.0,130.0,Normal
10526358.0,130.0,Normal
10526561.0,80.0,Normal
10526749.0,80.0,Normal
10526777.0,80.0,Normal
10526782.0,80.0,Normal
10526936.0,199.55000000000004,Normal
10526994.0,199.55000000000004,Normal
10527048.0,199.55,Normal
10527097.0,230.0,Normal
10527134.0,160.93000000000004,Normal
10527337.0,80.0,Normal
10527349.0,80.0,Normal
10527355.0,80.0,Normal
10527362.0,80.0,Normal
10527493.0,80.0,Normal
10527511.0,80.0,Normal
10528347.0,80.0,Normal
10528359.0,80.0,Normal
10528360.0,80.0,Normal
10528364.0,80.0,Normal
10528366.0,80.0,Normal
10528374.0,80.0,Normal
10528432.0,80.0,Normal
10528434.0,80.0,Normal
10528435.0,80.0,Normal
